region,cuid,cu_name_pse,species_name,locationid,locationname,pointid,latitude,longitude,year,absolute_abundance,enumeration_method
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2005,899875,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2006,422204,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2007,410127,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2008,532700,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2009,261116,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2010,251188,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2011,671588,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2012,314597,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2013,716301,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2014,551456,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2015,1157127,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2016,1075171,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2017,1274721,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2018,636242,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2019,1143612,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2020,650408,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2021,1287816,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2022,244231,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11859,Tahltan Lake (hatchery),2563,57.975924,-131.580276,2023,649094,Smolt Weir
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,1998,2138061,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,1999,691641,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2000,157890,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2001,61623,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2002,143652,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2003,467393,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2004,212860,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2005,438561,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2006,138362,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2007,47496,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2008,408000,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2009,345021,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2010,296421,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2011,89751,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2012,60266,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2013,275702,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2014,1034824,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2015,423815,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2016,240314,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2017,151844,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2018,911364,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2019,1122321,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2020,556585,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11857,Tatsamenie (natural),2546,58.408934,-132.362915,2021,102956,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,1998,366874,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,1999,82099,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2000,30639,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2001,8728,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2002,91473,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2003,75015,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2004,82750,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2005,233927,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2006,25935,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2007,30957,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2008,120000,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2009,197633,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2010,283806,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2011,69937,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2012,70243,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2013,329673,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2014,340130,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2015,134566,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2016,206684,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2017,178349,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2018,328942,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2019,568156,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2020,358142,Mark Recapture
Transboundary,1029,Tatsamenie,Lake sockeye,11858,Tatsamenie (hatchery),2545,58.408977,-132.362322,2021,128791,Mark Recapture
