SPECIES,Stock,Series,Year,Value,TableSource
Chinook,Stikine River,Canadian Harvest,2005,20049,B.12
Chinook,Stikine River,Canadian Harvest,2006,15776,B.12
Chinook,Stikine River,Canadian Harvest,2007,10510,B.12
Chinook,Stikine River,Canadian Harvest,2008,7932,B.12
Chinook,Stikine River,Canadian Harvest,2009,2146,B.12
Chinook,Stikine River,Canadian Harvest,2010,3164,B.12
Chinook,Stikine River,Canadian Harvest,2011,3141,B.12
Chinook,Stikine River,Canadian Harvest,2012,5210,B.12
Chinook,Stikine River,Canadian Harvest,2013,3370,B.12
Chinook,Stikine River,Canadian Harvest,2014,3327,B.12
Chinook,Stikine River,Canadian Harvest,2015,4258,B.12
Chinook,Stikine River,Canadian Harvest,2016,3235,B.12
Chinook,Stikine River,Canadian Harvest,2017,603,B.12
Chinook,Stikine River,Canadian Harvest,2018,165,B.12
Chinook,Stikine River,Canadian Harvest,2019,333,B.12
Chinook,Stikine River,Canadian Harvest,2020,389,B.12
Chinook,Stikine River,Canadian Harvest,2021,182,B.12
Chinook,Stikine River,Canadian Harvest,2022,269,B.12
Chinook,Stikine River,Canadian Harvest,2023,69,B.12
Chinook,Stikine River,Escapement,1996,28787,B.12
Chinook,Stikine River,Escapement,1997,26808,B.12
Chinook,Stikine River,Escapement,1998,25779,B.12
Chinook,Stikine River,Escapement,1999,19781,B.12
Chinook,Stikine River,Escapement,2000,26056,B.12
Chinook,Stikine River,Escapement,2001,63129,B.12
Chinook,Stikine River,Escapement,2002,50455,B.12
Chinook,Stikine River,Escapement,2003,47015,B.12
Chinook,Stikine River,Escapement,2004,48490,B.12
Chinook,Stikine River,Escapement,2005,39836,B.12
Chinook,Stikine River,Escapement,2006,24405,B.12
Chinook,Stikine River,Escapement,2007,14559,B.12
Chinook,Stikine River,Escapement,2008,18352,B.12
Chinook,Stikine River,Escapement,2009,12972,B.12
Chinook,Stikine River,Escapement,2010,15148,B.12
Chinook,Stikine River,Escapement,2011,14511,B.12
Chinook,Stikine River,Escapement,2012,22332,B.12
Chinook,Stikine River,Escapement,2013,16784,B.12
Chinook,Stikine River,Escapement,2014,24374,B.12
Chinook,Stikine River,Escapement,2015,21597,B.12
Chinook,Stikine River,Escapement,2016,10554,B.12
Chinook,Stikine River,Escapement,2017,7335,B.12
Chinook,Stikine River,Escapement,2018,8603,B.12
Chinook,Stikine River,Escapement,2019,13817,B.12
Chinook,Stikine River,Escapement,2020,9753,B.12
Chinook,Stikine River,Escapement,2021,8376,B.12
Chinook,Stikine River,Escapement,2022,9090,B.12
Chinook,Stikine River,Escapement,2023,12795,B.12
Chinook,Stikine River,US Harvest,2002,3587,B.12
Chinook,Stikine River,US Harvest,2003,3895,B.12
Chinook,Stikine River,US Harvest,2004,9599,B.12
Chinook,Stikine River,US Harvest,2005,27882,B.12
Chinook,Stikine River,US Harvest,2006,22060,B.12
Chinook,Stikine River,US Harvest,2007,10885,B.12
Chinook,Stikine River,US Harvest,2008,7335,B.12
Chinook,Stikine River,US Harvest,2009,1350,B.12
Chinook,Stikine River,US Harvest,2010,1303,B.12
Chinook,Stikine River,US Harvest,2011,2142,B.12
Chinook,Stikine River,US Harvest,2012,2353,B.12
Chinook,Stikine River,US Harvest,2013,1566,B.12
Chinook,Stikine River,US Harvest,2014,1622,B.12
Chinook,Stikine River,US Harvest,2015,1500,B.12
Chinook,Stikine River,US Harvest,2016,1707,B.12
Chinook,Stikine River,US Harvest,2017,207,B.12
Chinook,Stikine River,US Harvest,2018,39,B.12
Chinook,Stikine River,US Harvest,2019,133,B.12
Chinook,Stikine River,US Harvest,2020,161,B.12
Chinook,Stikine River,US Harvest,2021,123,B.12
Chinook,Stikine River,US Harvest,2022,62,B.12
Chinook,Stikine River,US Harvest,2023,71,B.12
Chinook,Stikine River,Terminal Run,2002,57480,B.12
Chinook,Stikine River,Terminal Run,2003,53776,B.12
Chinook,Stikine River,Terminal Run,2004,62137,B.12
Chinook,Stikine River,Terminal Run,2005,87767,B.12
Chinook,Stikine River,Terminal Run,2006,62241,B.12
Chinook,Stikine River,Terminal Run,2007,35954,B.12
Chinook,Stikine River,Terminal Run,2008,33619,B.12
Chinook,Stikine River,Terminal Run,2009,16468,B.12
Chinook,Stikine River,Terminal Run,2010,19615,B.12
Chinook,Stikine River,Terminal Run,2011,19794,B.12
Chinook,Stikine River,Terminal Run,2012,29895,B.12
Chinook,Stikine River,Terminal Run,2013,21720,B.12
Chinook,Stikine River,Terminal Run,2014,29323,B.12
Chinook,Stikine River,Terminal Run,2015,27355,B.12
Chinook,Stikine River,Terminal Run,2016,15496,B.12
Chinook,Stikine River,Terminal Run,2017,8145,B.12
Chinook,Stikine River,Terminal Run,2018,8807,B.12
Chinook,Stikine River,Terminal Run,2019,14283,B.12
Chinook,Stikine River,Terminal Run,2020,10303,B.12
Chinook,Stikine River,Terminal Run,2021,8681,B.12
Chinook,Stikine River,Terminal Run,2022,9421,B.12
Chinook,Stikine River,Terminal Run,2023,12935,B.12
