streamid,Year,SPECIES_QUALIFIED,cu_name_pse,cuid,stream_name_pse,PSE_source,TTC_Species,TTC_STOCK_MATCH,TTC_RECORD_MATCH,TTC_METHOD,TTC_QUALITY,POP_ID,IS_INDICATOR,latitude,longitude,Spn_TTC,Spn_Combined
10128,1955,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1956,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1957,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1958,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1959,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1960,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1961,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1962,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1963,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1964,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1965,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1966,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1967,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1968,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1969,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1970,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
