Year,SPECIES_QUALIFIED,Num_nuSEDS,Num_TTC,Num_Combined
1941,CO,0,0,0
1942,CO,0,0,0
1943,CO,0,0,0
1944,CO,0,0,0
1945,CO,0,0,0
1946,CO,0,0,0
1947,CO,0,0,0
1948,CO,0,0,0
1949,CO,0,0,0
1950,CO,0,0,0
1951,CO,0,0,0
1952,CO,0,0,0
1953,CO,0,0,0
1954,CO,0,0,0
1955,CO,0,0,0
1956,CO,0,0,0
1957,CO,0,0,0
1958,CO,1,0,1
1959,CO,0,0,0
1960,CO,0,0,0
1961,CO,0,0,0
1962,CO,0,0,0
1963,CO,0,0,0
1964,CO,0,0,0
1965,CO,0,0,0
1966,CO,0,0,0
1967,CO,0,0,0
1968,CO,0,0,0
1969,CO,0,0,0
1970,CO,0,0,0
1971,CO,0,0,0
1972,CO,0,0,0
1973,CO,0,0,0
1974,CO,0,0,0
1975,CO,0,0,0
1976,CO,1,0,0
1977,CO,1,0,0
1978,CO,1,0,0
1979,CO,1,0,0
1980,CO,1,0,0
1981,CO,1,0,0
1982,CO,1,0,0
1983,CO,1,0,0
1984,CO,7,5,6
1985,CO,11,7,11
1986,CO,6,0,5
1987,CO,6,0,5
1988,CO,13,6,11
1989,CO,12,8,12
1990,CO,11,6,10
1991,CO,11,7,11
1992,CO,10,7,10
1993,CO,6,3,6
1994,CO,10,7,10
1995,CO,9,7,9
1996,CO,9,7,9
1997,CO,7,7,7
1998,CO,7,7,7
1999,CO,0,7,7
2000,CO,0,4,4
2001,CO,1,7,7
2002,CO,6,7,7
2003,CO,1,1,1
2004,CO,6,7,7
2005,CO,6,7,7
2006,CO,6,7,7
2007,CO,6,7,7
2008,CO,5,5,5
2009,CO,6,7,7
2010,CO,6,7,7
2011,CO,6,7,7
2012,CO,3,3,3
2013,CO,6,7,7
2014,CO,6,7,7
2015,CO,6,7,7
2016,CO,5,7,7
2017,CO,6,7,7
2018,CO,6,7,7
2019,CO,6,7,7
2020,CO,1,2,2
2021,CO,5,7,7
2022,CO,0,7,7
2023,CO,0,7,7
1920,PKE,0,0,0
1921,PKE,0,0,0
1922,PKE,0,0,0
1923,PKE,0,0,0
1924,PKE,0,0,0
1925,PKE,0,0,0
1926,PKE,0,0,0
1927,PKE,0,0,0
1928,PKE,0,0,0
1929,PKE,0,0,0
1930,PKE,0,0,0
1931,PKE,0,0,0
1932,PKE,0,0,0
1933,PKE,0,0,0
1934,PKE,0,0,0
1935,PKE,0,0,0
1936,PKE,0,0,0
1937,PKE,0,0,0
1938,PKE,0,0,0
1939,PKE,0,0,0
1940,PKE,0,0,0
1941,PKE,0,0,0
1942,PKE,0,0,0
1943,PKE,0,0,0
1944,PKE,0,0,0
1945,PKE,0,0,0
1946,PKE,0,0,0
1947,PKE,0,0,0
1948,PKE,0,0,0
1949,PKE,0,0,0
1950,PKE,0,0,0
1951,PKE,0,0,0
1952,PKE,0,0,0
1953,PKE,0,0,0
1954,PKE,0,0,0
1955,PKE,0,0,0
1956,PKE,0,0,0
1957,PKE,0,0,0
1958,PKE,0,0,0
1959,PKE,0,0,0
1960,PKE,0,0,0
1961,PKE,0,0,0
1962,PKE,0,0,0
1963,PKE,0,0,0
1964,PKE,0,0,0
1965,PKE,0,0,0
1966,PKE,0,0,0
1967,PKE,0,0,0
1968,PKE,0,0,0
1969,PKE,0,0,0
1970,PKE,0,0,0
1971,PKE,0,0,0
1972,PKE,0,0,0
1973,PKE,0,0,0
1974,PKE,0,0,0
1975,PKE,0,0,0
1976,PKE,0,0,0
1977,PKE,0,0,0
1978,PKE,0,0,0
1979,PKE,0,0,0
1980,PKE,0,0,0
1981,PKE,0,0,0
1982,PKE,0,0,0
1983,PKE,0,0,0
1984,PKE,1,1,2
1985,PKE,0,0,0
1986,PKE,1,1,2
1987,PKE,0,0,0
1988,PKE,1,1,2
1989,PKE,0,0,0
1990,PKE,1,1,2
1991,PKE,0,0,0
1992,PKE,0,1,1
1993,PKE,0,0,0
1994,PKE,1,1,2
1995,PKE,0,0,0
1996,PKE,1,1,2
1997,PKE,0,0,0
1998,PKE,1,1,2
1999,PKE,0,0,0
2000,PKE,0,1,1
2001,PKE,0,0,0
2002,PKE,0,1,1
2003,PKE,0,0,0
2004,PKE,0,1,1
2005,PKE,0,0,0
2006,PKE,0,1,1
2007,PKE,0,0,0
2008,PKE,0,1,1
2009,PKE,0,0,0
2010,PKE,0,1,1
2011,PKE,0,0,0
2012,PKE,0,1,1
2013,PKE,0,0,0
2014,PKE,0,1,1
2015,PKE,0,0,0
2016,PKE,0,1,1
2017,PKE,0,0,0
2018,PKE,0,1,1
2019,PKE,0,0,0
2020,PKE,0,1,1
2021,PKE,0,0,0
2022,PKE,0,1,1
2023,PKE,0,0,0
1920,PKO,0,0,0
1921,PKO,0,0,0
1922,PKO,0,0,0
1923,PKO,0,0,0
1924,PKO,0,0,0
1925,PKO,0,0,0
1926,PKO,0,0,0
1927,PKO,0,0,0
1928,PKO,0,0,0
1929,PKO,0,0,0
1930,PKO,0,0,0
1931,PKO,0,0,0
1932,PKO,0,0,0
1933,PKO,0,0,0
1934,PKO,0,0,0
1935,PKO,0,0,0
1936,PKO,0,0,0
1937,PKO,0,0,0
1938,PKO,0,0,0
1939,PKO,0,0,0
1940,PKO,0,0,0
1941,PKO,0,0,0
1942,PKO,0,0,0
1943,PKO,0,0,0
1944,PKO,0,0,0
1945,PKO,0,0,0
1946,PKO,0,0,0
1947,PKO,0,0,0
1948,PKO,0,0,0
1949,PKO,0,0,0
1950,PKO,0,0,0
1951,PKO,0,0,0
1952,PKO,0,0,0
1953,PKO,0,0,0
1954,PKO,0,0,0
1955,PKO,0,0,0
1956,PKO,0,0,0
1957,PKO,0,0,0
1958,PKO,0,0,0
1959,PKO,0,0,0
1960,PKO,0,0,0
1961,PKO,0,0,0
1962,PKO,0,0,0
1963,PKO,0,0,0
1964,PKO,0,0,0
1965,PKO,0,0,0
1966,PKO,0,0,0
1967,PKO,0,0,0
1968,PKO,0,0,0
1969,PKO,0,0,0
1970,PKO,0,0,0
1971,PKO,0,0,0
1972,PKO,0,0,0
1973,PKO,0,0,0
1974,PKO,0,0,0
1975,PKO,0,0,0
1976,PKO,0,0,0
1977,PKO,0,0,0
1978,PKO,0,0,0
1979,PKO,0,0,0
1980,PKO,0,0,0
1981,PKO,0,0,0
1982,PKO,0,0,0
1983,PKO,0,0,0
1984,PKO,0,0,0
1985,PKO,1,1,2
1986,PKO,0,0,0
1987,PKO,1,1,2
1988,PKO,0,0,0
1989,PKO,1,1,2
1990,PKO,0,0,0
1991,PKO,1,1,2
1992,PKO,0,0,0
1993,PKO,1,1,2
1994,PKO,0,0,0
1995,PKO,0,1,1
1996,PKO,0,0,0
1997,PKO,1,1,2
1998,PKO,0,0,0
1999,PKO,0,1,1
2000,PKO,0,0,0
2001,PKO,0,1,1
2002,PKO,0,0,0
2003,PKO,0,1,1
2004,PKO,0,0,0
2005,PKO,0,1,1
2006,PKO,0,0,0
2007,PKO,0,1,1
2008,PKO,0,0,0
2009,PKO,0,1,1
2010,PKO,0,0,0
2011,PKO,0,1,1
2012,PKO,0,0,0
2013,PKO,0,1,1
2014,PKO,0,0,0
2015,PKO,0,1,1
2016,PKO,0,0,0
2017,PKO,0,1,1
2018,PKO,0,0,0
2019,PKO,0,1,1
2020,PKO,0,0,0
2021,PKO,0,1,1
2022,PKO,0,0,0
2023,PKO,0,1,1
