Species_CU_INDEX,POP_ID,GEOGRAPHICAL_EXTNT_OF_ESTIMATE,Records_Total,Max_Est,FirstRecord,LastRecord,Records_HQ,Records_MQ,Records_LQ,Records_UNK,River,FAZ,SPECIES,PSF_CU_NAME,CU_NAME,,Used?
CO-39,45493,CHRISTINA CREEK,2,55,1988,1989,0,0,0,2,Stikine,Lower Stikine,CO,LOWER STIKINE,LOWER STIKINE,,1
CO-39,45496,SCUD RIVER,30,1389,1985,2021,0,30,0,0,Stikine,Lower Stikine,CO,LOWER STIKINE,LOWER STIKINE,,1
CK-60,45145,TAHLTAN RIVER,21,4384,1979,2021,0,4,0,17,Stikine,Lower Stikine,CK,STIKINE-EARLY TIMING,STIKINE-EARLY TIMING,,1
CK-60,45146,BEATTY CREEK,25,757,1980,2021,0,6,0,19,Stikine,Lower Stikine,CK,STIKINE-EARLY TIMING,STIKINE-EARLY TIMING,,1
CK-60,45147,LITTLE TAHLTAN RIVER,43,16631,1979,2021,24,7,0,12,Stikine,Lower Stikine,CK,STIKINE-EARLY TIMING,STIKINE-EARLY TIMING,,1
CK-60,45494,CHRISTINA CREEK,1,275,1975,1975,0,0,0,1,Stikine,Lower Stikine,CK,STIKINE-EARLY TIMING,STIKINE-EARLY TIMING,,1
CK-61,3341,STIKINE RIVER,26,66646,1996,2021,26,0,0,0,Stikine,Lower Stikine,CK,STIKINE-LATE TIMING,STIKINE-LATE TIMING,*Watershed level reconstruction comprising more than one CU,0
CK-61,45136,ISKUT RIVER,1,290,1977,1977,0,0,0,1,Stikine,Lower Stikine,CK,STIKINE-LATE TIMING,STIKINE-LATE TIMING,,1
CK-61,45489,KATETE RIVER,18,4384,1979,1998,0,0,0,18,Stikine,Lower Stikine,CK,STIKINE-LATE TIMING,STIKINE-LATE TIMING,,1
SEL-26-02,45144,TAHLTAN RIVER,61,67326,1959,2019,20,0,0,41,Stikine,Lower Stikine,SEL,TAHLTAN,TAHLTAN,,1
SEL-28-05,3444,KING SALMON LAKE,19,17733,2003,2022,16,2,1,0,Taku,Taku,SEL,KING SALMON LAKE,KING SALMON,,1
SEL-28-01,44575,KUTHAI LAKE,25,10042,1980,2018,15,0,0,10,Taku,Taku,SEL,KUTHAI,KUTHAI,,1
SEL-28-02,45160,LITTLE TRAPPER LAKE,33,31227,1983,2018,33,0,0,0,Taku,Taku,SEL,LITTLE TRAPPER,LITTLE TRAPPER,,1
CK-63,45164,NAHLIN RIVER,48,5415,1975,2022,0,23,0,25,Taku,Taku,CK,TAKU-EARLY TIMING,TAKU-EARLY TIMING,*Single count from POP_ID 45165 (Nahlin River Chinook) in 1999 included in this survey,1
CK-63,45167,DUDIDONTU RIVER,46,1810,1975,2022,0,23,0,23,Taku,Taku,CK,TAKU-EARLY TIMING,TAKU-EARLY TIMING,,1
CK-63,45168,TSETA CREEK,32,1201,1978,2011,0,12,0,20,Taku,Taku,CK,TAKU-EARLY TIMING,TAKU-EARLY TIMING,,1
CK-65,3340,TAKU RIVER,34,117877,1989,2022,34,0,0,0,Taku,Taku,CK,TAKU-LATE TIMING,TAKU-LATE TIMING,*Watershed-scale reconstruction comprising more than one CU,0
CO-41,45149,TAKU RIVER,33,223162,1987,2019,33,0,0,0,Taku,Taku,CO,TAKU-LATE TIMING,TAKU-LATE TIMING,*Watershed-scale reconstruction comprising more than one CU,0
CO-41,45150,FLANNIGAN SLOUGH,13,2320,1984,1996,0,0,0,13,Taku,Taku,CO,TAKU-LATE TIMING,TAKU-LATE TIMING,,1
CO-41,45154,TATSATUA CREEK,10,1101,1985,1994,0,0,0,10,Taku,Taku,CO,TAKU-LATE TIMING,TAKU-LATE TIMING,,1
CK-65,45155,TATSATUA CREEK,47,2011,1976,2022,0,23,0,24,Taku,Taku,CK,TAKU-LATE TIMING,TAKU-LATE TIMING,,1
CK-65,45159,KOWATUA CREEK,47,1620,1976,2022,0,23,0,24,Taku,Taku,CK,TAKU-LATE TIMING,TAKU-LATE TIMING,,1
CO-41,45161,LITTLE TRAPPER LAKE,2,13084,1958,1985,0,0,0,2,Taku,Taku,CO,TAKU-LATE TIMING,TAKU-LATE TIMING,"*CU association updated to Taku Ð Mid Timing (Aaron Foos, pers. comm.)",1
CO-41,45163,NAHLIN RIVER,11,2112,1986,1996,4,5,0,2,Taku,Taku,CO,TAKU-LATE TIMING,TAKU-LATE TIMING,"*CU association updated to Taku Ð Early Timing (Aaron Foos, pers. comm.)",1
CO-41,45166,DUDIDONTU RIVER,6,458,1986,1991,0,6,0,0,Taku,Taku,CO,TAKU-LATE TIMING,TAKU-LATE TIMING,"*CU association updated to Taku Ð Early Timing (Aaron Foos, pers. comm.)",1
CO-41,45170,HACKETT RIVER,4,2723,1985,1988,4,0,0,0,Taku,Taku,CO,TAKU-LATE TIMING,TAKU-LATE TIMING,"*CU association updated to Taku Ð Mid Timing  (Aaron Foos, pers. comm.)",1
CK-65,45171,HACKETT RIVER,5,1021,1985,1989,0,0,0,5,Taku,Taku,CK,TAKU-LATE TIMING,TAKU-LATE TIMING,,1
CK-64,45158,NAKINA RIVER,47,7917,1975,2022,0,23,0,24,Taku,Taku,CK,TAKU-MID TIMING,TAKU-MID TIMING,,1
,,,,,,,,,,,,,,,,,59
