CU_NAME,Species_CU_INDEX,DESCR,GEOGRAPHICAL_EXTNT_OF_ESTIMATE,SPECIES,Year,INDEX_YN,ESTIMATE_STAGE,ESTIMATE_CLASSIFICATION,NO_INSPECTIONS_USED,ESTIMATE_METHOD,POP_ID,MAX_ESTIMATE,NATURAL_ADULT_SPAWNERS,NATURAL_JACK_SPAWNERS,NATURAL_SPAWNERS_TOTAL,ADULT_BROODSTOCK_REMOVALS,JACK_BROODSTOCK_REMOVALS,TOTAL_BROODSTOCK_REMOVALS,OTHER_REMOVALS,TOTAL_RETURN_TO_RIVER,UNSPECIFIED_RETURNS,ENUMERATION_METHOD1,ENUMERATION_METHOD2,ENUMERATION_METHOD3,ENUMERATION_METHOD4,ENUMERATION_METHOD5,ENUMERATION_METHOD6,EstQual
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1989,LITTLE TAHLTAN RIVER,Chinook,1989,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45147,4914,NA,NA,NA,NA,NA,NA,NA,NA,4914,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1988,LITTLE TAHLTAN RIVER,Chinook,1988,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45147,7619,NA,NA,NA,NA,NA,NA,NA,NA,7619,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1991,LITTLE TAHLTAN RIVER,Chinook,1991,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45147,4819,NA,NA,NA,NA,NA,NA,NA,NA,4819,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1993,LITTLE TAHLTAN RIVER,Chinook,1993,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45147,11509,NA,NA,NA,NA,NA,NA,NA,NA,11509,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1999,LITTLE TAHLTAN RIVER,Chinook,1999,NA,FINAL,UNKNOWN,NA,Fixed Site Census,45147,4940,NA,NA,NA,NA,NA,NA,NA,NA,4940,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1996,LITTLE TAHLTAN RIVER,Chinook,1996,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45147,4843,NA,NA,NA,NA,NA,NA,NA,NA,4843,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1990,LITTLE TAHLTAN RIVER,Chinook,1990,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45147,4809,NA,NA,NA,NA,NA,NA,NA,NA,4809,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2019,LITTLE TAHLTAN RIVER,Chinook,2019,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45147,36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1995,LITTLE TAHLTAN RIVER,Chinook,1995,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45147,3207,NA,NA,NA,NA,NA,NA,NA,NA,3207,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1992,LITTLE TAHLTAN RIVER,Chinook,1992,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45147,6758,NA,NA,NA,NA,NA,NA,NA,NA,6758,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1997,LITTLE TAHLTAN RIVER,Chinook,1997,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45147,5611,NA,NA,NA,NA,NA,NA,NA,NA,5611,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1998,LITTLE TAHLTAN RIVER,Chinook,1998,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45147,4916,NA,NA,NA,NA,NA,NA,NA,NA,4916,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2001,LITTLE TAHLTAN RIVER,Chinook,2001,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,9970,9730,240,9970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2002,LITTLE TAHLTAN RIVER,Chinook,2002,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,7972,7476,496,7972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2003,LITTLE TAHLTAN RIVER,Chinook,2003,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,6760,6492,268,6760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2004,LITTLE TAHLTAN RIVER,Chinook,2004,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,16631,16381,250,16631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2005,LITTLE TAHLTAN RIVER,Chinook,2005,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,7484,7253,231,7484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2006,LITTLE TAHLTAN RIVER,Chinook,2006,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,3945,3860,85,3945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2000,LITTLE TAHLTAN RIVER,Chinook,2000,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,6739,6631,108,6739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1987,LITTLE TAHLTAN RIVER,Chinook,1987,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,5148,4783,365,5148,NA,NA,NA,NA,5148,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1986,LITTLE TAHLTAN RIVER,Chinook,1986,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,3463,2891,572,3463,NA,NA,NA,NA,3463,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2014,LITTLE TAHLTAN RIVER,Chinook,2014,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,209,169,40,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2013,LITTLE TAHLTAN RIVER,Chinook,2013,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,1061,878,183,1061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2012,LITTLE TAHLTAN RIVER,Chinook,2012,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,771,720,51,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2011,LITTLE TAHLTAN RIVER,Chinook,2011,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,1252,1058,194,1252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2010,LITTLE TAHLTAN RIVER,Chinook,2010,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,1278,1057,221,1278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2009,LITTLE TAHLTAN RIVER,Chinook,2009,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,2344,2245,99,2344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1985,LITTLE TAHLTAN RIVER,Chinook,1985,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,3430,3114,316,3430,NA,NA,NA,NA,3430,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1984,LITTLE TAHLTAN RIVER,Chinook,1984,NA,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Aerial,45147,1294,1294,NA,NA,NA,NA,NA,NA,1294,NA,NA,NA,NA,NA,NA,NA,M
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1983,LITTLE TAHLTAN RIVER,Chinook,1983,NA,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Aerial,45147,594,594,NA,NA,NA,NA,NA,NA,594,NA,NA,NA,NA,NA,NA,NA,M
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1982,LITTLE TAHLTAN RIVER,Chinook,1982,NA,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Aerial,45147,2830,2830,NA,NA,NA,NA,NA,NA,2830,NA,NA,NA,NA,NA,NA,NA,M
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1981,LITTLE TAHLTAN RIVER,Chinook,1981,NA,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Aerial,45147,3334,3334,NA,NA,NA,NA,NA,NA,3334,NA,NA,NA,NA,NA,NA,NA,M
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1980,LITTLE TAHLTAN RIVER,Chinook,1980,NA,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Aerial,45147,2137,2137,NA,NA,NA,NA,NA,NA,2137,NA,NA,NA,NA,NA,NA,NA,M
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1979,LITTLE TAHLTAN RIVER,Chinook,1979,NA,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Aerial,45147,1166,1166,NA,NA,NA,NA,NA,NA,1166,NA,NA,NA,NA,NA,NA,NA,M
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2008,LITTLE TAHLTAN RIVER,Chinook,2008,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,2802,2663,139,2802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2018,LITTLE TAHLTAN RIVER,Chinook,2018,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,866,453,413,866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2017,LITTLE TAHLTAN RIVER,Chinook,2017,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,739,428,311,739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2007,LITTLE TAHLTAN RIVER,Chinook,2007,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,574,562,12,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2015,LITTLE TAHLTAN RIVER,Chinook,2015,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,920,450,470,920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2016,LITTLE TAHLTAN RIVER,Chinook,2016,NA,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,1239,921,318,1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2020,LITTLE TAHLTAN RIVER,Chinook,2020,N,FINAL,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,1416,347,1069,NA,NA,NA,NA,NA,1416,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 2021,LITTLE TAHLTAN RIVER,Chinook,2021,N,PRELIMINARY,TRUE ABUNDANCE (TYPE-1),NA,Fixed Site Census,45147,1471,987,484,NA,NA,NA,NA,NA,1471,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-EARLY TIMING,CK-60,Little Tahltan River (Stikine) Chinook 1994,LITTLE TAHLTAN RIVER,Chinook,1994,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45147,6508,NA,NA,NA,NA,NA,NA,NA,NA,6508,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1995,TAHLTAN RIVER,Chinook,1995,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,696,NA,NA,NA,NA,NA,NA,NA,NA,696,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1980,TAHLTAN RIVER,Chinook,1980,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,960,NA,NA,NA,NA,NA,NA,NA,NA,960,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1987,TAHLTAN RIVER,Chinook,1987,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,1390,NA,NA,NA,NA,NA,NA,NA,NA,1390,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1997,TAHLTAN RIVER,Chinook,1997,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,260,NA,NA,NA,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1998,TAHLTAN RIVER,Chinook,1998,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,587,NA,NA,NA,NA,NA,NA,NA,NA,587,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 2021,TAHLTAN RIVER,Chinook,2021,Y,PRELIMINARY,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45145,85,85,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,M
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 2015,TAHLTAN RIVER,Chinook,2015,N,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45145,53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 2016,TAHLTAN RIVER,Chinook,2016,N,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45145,95,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 2014,TAHLTAN RIVER,Chinook,2014,N,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45145,514,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1986,TAHLTAN RIVER,Chinook,1986,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,1400,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1981,TAHLTAN RIVER,Chinook,1981,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,1852,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1985,TAHLTAN RIVER,Chinook,1985,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,1490,NA,NA,NA,NA,NA,NA,NA,NA,1490,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1996,TAHLTAN RIVER,Chinook,1996,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,772,NA,NA,NA,NA,NA,NA,NA,NA,772,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1988,TAHLTAN RIVER,Chinook,1988,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,4384,NA,NA,NA,NA,NA,NA,NA,NA,4384,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1991,TAHLTAN RIVER,Chinook,1991,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,2445,NA,NA,NA,NA,NA,NA,NA,NA,2445,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1983,TAHLTAN RIVER,Chinook,1983,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,453,NA,NA,NA,NA,NA,NA,NA,NA,453,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1993,TAHLTAN RIVER,Chinook,1993,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,2249,NA,NA,NA,NA,NA,NA,NA,NA,2249,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1992,TAHLTAN RIVER,Chinook,1992,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,1891,NA,NA,NA,NA,NA,NA,NA,NA,1891,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1990,TAHLTAN RIVER,Chinook,1990,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,2134,NA,NA,NA,NA,NA,NA,NA,NA,2134,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1979,TAHLTAN RIVER,Chinook,1979,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,2118,NA,NA,NA,NA,NA,NA,NA,NA,2118,NA,NA,NA,NA,NA,NA,UNK
STIKINE-EARLY TIMING,CK-60,Tahltan River (Stikine) Chinook 1982,TAHLTAN RIVER,Chinook,1982,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45145,1690,NA,NA,NA,NA,NA,NA,NA,NA,1690,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Iskut River (Stikine) Chinook 1977,ISKUT RIVER,Chinook,1977,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45136,290,NA,NA,NA,NA,NA,NA,NA,NA,290,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1979,KATETE RIVER,Chinook,1979,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,2118,NA,NA,NA,NA,NA,NA,NA,NA,2118,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1997,KATETE RIVER,Chinook,1997,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,260,NA,NA,NA,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1985,KATETE RIVER,Chinook,1985,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,1490,NA,NA,NA,NA,NA,NA,NA,NA,1490,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1993,KATETE RIVER,Chinook,1993,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,4010,NA,NA,NA,NA,NA,NA,NA,NA,4010,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1992,KATETE RIVER,Chinook,1992,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,1891,NA,NA,NA,NA,NA,NA,NA,NA,1891,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1980,KATETE RIVER,Chinook,1980,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,1960,NA,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1991,KATETE RIVER,Chinook,1991,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,2445,NA,NA,NA,NA,NA,NA,NA,NA,2445,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1982,KATETE RIVER,Chinook,1982,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,1690,NA,NA,NA,NA,NA,NA,NA,NA,1690,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1987,KATETE RIVER,Chinook,1987,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,1390,NA,NA,NA,NA,NA,NA,NA,NA,1390,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1995,KATETE RIVER,Chinook,1995,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,696,NA,NA,NA,NA,NA,NA,NA,NA,696,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1994,KATETE RIVER,Chinook,1994,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,2422,NA,NA,NA,NA,NA,NA,NA,NA,2422,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1983,KATETE RIVER,Chinook,1983,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,453,NA,NA,NA,NA,NA,NA,NA,NA,453,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1990,KATETE RIVER,Chinook,1990,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,2134,NA,NA,NA,NA,NA,NA,NA,NA,2134,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1988,KATETE RIVER,Chinook,1988,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,4384,NA,NA,NA,NA,NA,NA,NA,NA,4384,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1996,KATETE RIVER,Chinook,1996,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,772,NA,NA,NA,NA,NA,NA,NA,NA,772,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1998,KATETE RIVER,Chinook,1998,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,587,NA,NA,NA,NA,NA,NA,NA,NA,587,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1986,KATETE RIVER,Chinook,1986,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,1400,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Katete River (Stikine) Chinook 1981,KATETE RIVER,Chinook,1981,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45489,1852,NA,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,NA,NA,NA,NA,UNK
STIKINE-LATE TIMING,CK-61,Stikine River Chinook 2010,STIKINE RIVER,Chinook,2010,N,FINAL,TRUE ABUNDANCE (TYPE-2),NA,Mark & Recapture: Petersen,3341,18312,15148,NA,NA,NA,NA,NA,3164,18312,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-LATE TIMING,CK-61,Stikine River Chinook 2005,STIKINE RIVER,Chinook,2005,N,NEAR FINAL,TRUE ABUNDANCE (TYPE-2),NA,Mark & Recapture: Petersen,3341,63373,40802,1331,42133,NA,NA,NA,21240,63373,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-LATE TIMING,CK-61,Stikine River Chinook 1996,STIKINE RIVER,Chinook,1996,N,FINAL,TRUE ABUNDANCE (TYPE-2),NA,Mark & Recapture: Petersen,3341,31718,28787,NA,NA,NA,NA,NA,2931,31718,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-LATE TIMING,CK-61,Stikine River Chinook 1997,STIKINE RIVER,Chinook,1997,N,FINAL,TRUE ABUNDANCE (TYPE-2),NA,Mark & Recapture: Petersen,3341,31509,26808,NA,NA,NA,NA,NA,4701,31509,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-LATE TIMING,CK-61,Stikine River Chinook 2019,STIKINE RIVER,Chinook,2019,N,FINAL,TRUE ABUNDANCE (TYPE-2),NA,Mark & Recapture: Petersen,3341,14150,13817,NA,NA,NA,NA,NA,333,14150,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-LATE TIMING,CK-61,Stikine River Chinook 1998,STIKINE RIVER,Chinook,1998,N,FINAL,TRUE ABUNDANCE (TYPE-2),NA,Mark & Recapture: Petersen,3341,28133,25779,NA,NA,NA,NA,NA,2354,28133,NA,NA,NA,NA,NA,NA,NA,H
STIKINE-LATE TIMING,CK-61,Stikine River Chinook 1999,STIKINE RIVER,Chinook,1999,N,FINAL,TRUE ABUNDANCE (TYPE-2),NA,Mark & Recapture: Petersen,3341,23716,19781,NA,NA,NA,NA,NA,3935,23716,NA,NA,NA,NA,NA,NA,NA,H
