CU_NAME,Species_CU_INDEX,DESCR,GEOGRAPHICAL_EXTNT_OF_ESTIMATE,SPECIES,Year,INDEX_YN,ESTIMATE_STAGE,ESTIMATE_CLASSIFICATION,NO_INSPECTIONS_USED,ESTIMATE_METHOD,POP_ID,MAX_ESTIMATE,NATURAL_ADULT_SPAWNERS,NATURAL_JACK_SPAWNERS,NATURAL_SPAWNERS_TOTAL,ADULT_BROODSTOCK_REMOVALS,JACK_BROODSTOCK_REMOVALS,TOTAL_BROODSTOCK_REMOVALS,OTHER_REMOVALS,TOTAL_RETURN_TO_RIVER,UNSPECIFIED_RETURNS,ENUMERATION_METHOD1,ENUMERATION_METHOD2,ENUMERATION_METHOD3,ENUMERATION_METHOD4,ENUMERATION_METHOD5,ENUMERATION_METHOD6,EstQual
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 1994,CRAIG RIVER,Coho,1994,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,1026,NA,NA,1026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 1995,CRAIG RIVER,Coho,1995,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,1419,NA,NA,1419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 1996,CRAIG RIVER,Coho,1996,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,205,NA,NA,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 1997,CRAIG RIVER,Coho,1997,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,19,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 1998,CRAIG RIVER,Coho,1998,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,141,NA,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2002,CRAIG RIVER,Coho,2002,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,4488,NA,NA,4488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2004,CRAIG RIVER,Coho,2004,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,19,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2005,CRAIG RIVER,Coho,2005,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,444,444,NA,444,NA,NA,NA,NA,444,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2017,CRAIG RIVER,Coho,2017,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,570,NA,NA,570,NA,NA,NA,NA,570,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2019,CRAIG RIVER,Coho,2019,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,61,NA,NA,61,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,M
