SPECIES,Stock,Series,Year,Value,TableSource
Chinook,Alsek River,Harvest above Klukshu Weir,2023,11,E.5
Chinook,Alsek River,Klukshu - Escapement,1976,1153,E.5
Chinook,Alsek River,Klukshu - Escapement,1977,2894,E.5
Chinook,Alsek River,Klukshu - Escapement,1978,2676,E.5
Chinook,Alsek River,Klukshu - Escapement,1979,2454,E.5
Chinook,Alsek River,Klukshu - Escapement,1980,2487,E.5
Chinook,Alsek River,Klukshu - Escapement,1981,1963,E.5
Chinook,Alsek River,Klukshu - Escapement,1982,1969,E.5
Chinook,Alsek River,Klukshu - Escapement,1983,2237,E.5
Chinook,Alsek River,Klukshu - Escapement,1984,1572,E.5
Chinook,Alsek River,Klukshu - Escapement,1985,1283,E.5
Chinook,Alsek River,Klukshu - Escapement,1986,2607,E.5
Chinook,Alsek River,Klukshu - Escapement,1987,2491,E.5
Chinook,Alsek River,Klukshu - Escapement,1988,1994,E.5
Chinook,Alsek River,Klukshu - Escapement,1989,2289,E.5
Chinook,Alsek River,Klukshu - Escapement,1990,1742,E.5
Chinook,Alsek River,Klukshu - Escapement,1991,2248,E.5
Chinook,Alsek River,Klukshu - Escapement,1992,1242,E.5
Chinook,Alsek River,Klukshu - Escapement,1993,3220,E.5
Chinook,Alsek River,Klukshu - Escapement,1994,3628,E.5
Chinook,Alsek River,Klukshu - Escapement,1995,5394,E.5
Chinook,Alsek River,Klukshu - Escapement,1996,3382,E.5
Chinook,Alsek River,Klukshu - Escapement,1997,2829,E.5
Chinook,Alsek River,Klukshu - Escapement,1998,1347,E.5
Chinook,Alsek River,Klukshu - Escapement,1999,2168,E.5
Chinook,Alsek River,Klukshu - Escapement,2000,1321,E.5
Chinook,Alsek River,Klukshu - Escapement,2001,1738,E.5
Chinook,Alsek River,Klukshu - Escapement,2002,2134,E.5
Chinook,Alsek River,Klukshu - Escapement,2003,1661,E.5
Chinook,Alsek River,Klukshu - Escapement,2004,2445,E.5
Chinook,Alsek River,Klukshu - Escapement,2005,963,E.5
Chinook,Alsek River,Klukshu - Escapement,2006,566,E.5
Chinook,Alsek River,Klukshu - Escapement,2007,676,E.5
Chinook,Alsek River,Klukshu - Escapement,2008,466,E.5
Chinook,Alsek River,Klukshu - Escapement,2009,1518,E.5
Chinook,Alsek River,Klukshu - Escapement,2010,2259,E.5
Chinook,Alsek River,Klukshu - Escapement,2011,1610,E.5
Chinook,Alsek River,Klukshu - Escapement,2012,693,E.5
Chinook,Alsek River,Klukshu - Escapement,2013,1227,E.5
Chinook,Alsek River,Klukshu - Escapement,2014,832,E.5
Chinook,Alsek River,Klukshu - Escapement,2015,1388,E.5
Chinook,Alsek River,Klukshu - Escapement,2016,646,E.5
Chinook,Alsek River,Klukshu - Escapement,2017,443,E.5
Chinook,Alsek River,Klukshu - Escapement,2018,1087,E.5
Chinook,Alsek River,Klukshu - Escapement,2019,1573,E.5
Chinook,Alsek River,Klukshu - Escapement,2020,1316,E.5
Chinook,Alsek River,Klukshu - Escapement,2021,1384,E.5
Chinook,Alsek River,Klukshu - Escapement,2022,934,E.5
Chinook,Alsek River,Klukshu - Escapement,2023,1053,E.5
Chinook,Alsek River,Blanchard River Aerial Index,1984,304,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1985,232,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1986,556,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1987,624,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1988,437,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1989,NA,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1990,NA,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1991,121,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1992,86,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1993,326,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1994,349,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1995,338,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1996,132,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1997,109,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1998,71,E.8
Chinook,Alsek River,Blanchard River Aerial Index,1999,371,E.8
Chinook,Alsek River,Blanchard River Aerial Index,2000,163,E.8
