SPECIES,Stock,Series,Year,Value,TableSource,Method
Chinook,Taku River,Spawning Escapement - Upper,2009,28388,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2010,33698,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2011,26406,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2012,22434,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2013,31504,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2014,27877,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2015,26622,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2016,10240,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2017,9749,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2018,8798,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2019,14314,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2020,21569,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2021,19848,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2022,18718,D.7,
Chinook,Taku River,Spawning Escapement - Upper,2023,18535,D.7,
Chinook,Taku River,Canadian Catch,1989,1232,D.7,
Chinook,Taku River,Canadian Catch,1990,1606,D.7,
Chinook,Taku River,Canadian Catch,1991,1477,D.7,
Chinook,Taku River,Canadian Catch,1992,1866,D.7,
Chinook,Taku River,Canadian Catch,1993,1944,D.7,
Chinook,Taku River,Canadian Catch,1994,2484,D.7,
Chinook,Taku River,Canadian Catch,1995,1752,D.7,
Chinook,Taku River,Canadian Catch,1996,3499,D.7,
Chinook,Taku River,Canadian Catch,1997,2939,D.7,
Chinook,Taku River,Canadian Catch,1998,1272,D.7,
Chinook,Taku River,Canadian Catch,1999,1640,D.7,
Chinook,Taku River,Canadian Catch,2000,3043,D.7,
Chinook,Taku River,Canadian Catch,2001,2863,D.7,
Chinook,Taku River,Canadian Catch,2002,3014,D.7,
Chinook,Taku River,Canadian Catch,2003,3679,D.7,
Chinook,Taku River,Canadian Catch,2004,3953,D.7,
Chinook,Taku River,Canadian Catch,2005,7716,D.7,
Chinook,Taku River,Canadian Catch,2006,8334,D.7,
Chinook,Taku River,Canadian Catch,2007,2542,D.7,
Chinook,Taku River,Canadian Catch,2008,2418,D.7,
Chinook,Taku River,Canadian Catch,2009,7036,D.7,
Chinook,Taku River,Canadian Catch,2010,5469,D.7,
Chinook,Taku River,Canadian Catch,2011,3277,D.7,
Chinook,Taku River,Canadian Catch,2012,2965,D.7,
Chinook,Taku River,Canadian Catch,2013,738,D.7,
Chinook,Taku River,Canadian Catch,2014,2472,D.7,
Chinook,Taku River,Canadian Catch,2015,2447,D.7,
Chinook,Taku River,Canadian Catch,2016,1630,D.7,
Chinook,Taku River,Canadian Catch,2017,250,D.7,
Chinook,Taku River,Canadian Catch,2018,7,D.7,
Chinook,Taku River,Canadian Catch,2019,10,D.7,
Chinook,Taku River,Canadian Catch,2020,94,D.7,
Chinook,Taku River,Canadian Catch,2021,40,D.7,
Chinook,Taku River,Canadian Catch,2022,33,D.7,
Chinook,Taku River,Canadian Catch,2023,25,D.7,
Chinook,Taku River,Run Estimate,1989,41561,D.7,
Chinook,Taku River,Run Estimate,1990,53748,D.7,
Chinook,Taku River,Run Estimate,1991,53122,D.7,
Chinook,Taku River,Run Estimate,1992,57755,D.7,
Chinook,Taku River,Run Estimate,1993,68069,D.7,
Chinook,Taku River,Run Estimate,1994,50852,D.7,
Chinook,Taku River,Run Estimate,1995,35557,D.7,
Chinook,Taku River,Run Estimate,1996,82518,D.7,
Chinook,Taku River,Run Estimate,1997,117877,D.7,
Chinook,Taku River,Run Estimate,1998,32311,D.7,
Chinook,Taku River,Run Estimate,1999,18426,D.7,
Chinook,Taku River,Run Estimate,2000,38040,D.7,
Chinook,Taku River,Run Estimate,2001,49507,D.7,
Chinook,Taku River,Run Estimate,2002,58058,D.7,
Chinook,Taku River,Run Estimate,2003,40114,D.7,
Chinook,Taku River,Run Estimate,2004,78985,D.7,
Chinook,Taku River,Run Estimate,2005,46315,D.7,
Chinook,Taku River,Run Estimate,2006,50525,D.7,
Chinook,Taku River,Run Estimate,2007,17291,D.7,
Chinook,Taku River,Run Estimate,2008,29063,D.7,
Chinook,Taku River,Run Estimate,2009,29797,D.7,
Chinook,Taku River,Run Estimate,2010,34238,D.7,
Chinook,Taku River,Run Estimate,2011,22949,D.7,
Chinook,Taku River,Run Estimate,2012,19678,D.7,
Chinook,Taku River,Run Estimate,2013,18740,D.7,
Chinook,Taku River,Run Estimate,2014,26004,D.7,
Chinook,Taku River,Run Estimate,2015,26014,D.7,
Chinook,Taku River,Run Estimate,2016,10807,D.7,
Chinook,Taku River,Run Estimate,2017,8464,D.7,
Chinook,Taku River,Run Estimate,2018,7278,D.7,
Chinook,Taku River,Run Estimate,2019,11568,D.7,
Chinook,Taku River,Run Estimate,2020,15687,D.7,
Chinook,Taku River,Run Estimate,2021,11381,D.7,
Chinook,Taku River,Run Estimate,2022,12755,D.7,
Chinook,Taku River,Run Estimate,2023,14780,D.7,
Chinook,Taku River,US Harvest,1989,NA,D.7,
Chinook,Taku River,US Harvest,1990,NA,D.7,
Chinook,Taku River,US Harvest,1991,NA,D.7,
Chinook,Taku River,US Harvest,1992,NA,D.7,
Chinook,Taku River,US Harvest,1993,NA,D.7,
Chinook,Taku River,US Harvest,1994,NA,D.7,
Chinook,Taku River,US Harvest,1995,6263,D.7,
Chinook,Taku River,US Harvest,1996,6280,D.7,
Chinook,Taku River,US Harvest,1997,8325,D.7,
Chinook,Taku River,US Harvest,1998,2605,D.7,
Chinook,Taku River,US Harvest,1999,4019,D.7,
Chinook,Taku River,US Harvest,2000,3472,D.7,
Chinook,Taku River,US Harvest,2001,3883,D.7,
Chinook,Taku River,US Harvest,2002,3282,D.7,
Chinook,Taku River,US Harvest,2003,2768,D.7,
Chinook,Taku River,US Harvest,2004,3696,D.7,
Chinook,Taku River,US Harvest,2005,19019,D.7,
Chinook,Taku River,US Harvest,2006,11334,D.7,
Chinook,Taku River,US Harvest,2007,1359,D.7,
Chinook,Taku River,US Harvest,2008,1123,D.7,
Chinook,Taku River,US Harvest,2009,5309,D.7,
Chinook,Taku River,US Harvest,2010,1546,D.7,
Chinook,Taku River,US Harvest,2011,1139,D.7,
Chinook,Taku River,US Harvest,2012,1405,D.7,
Chinook,Taku River,US Harvest,2013,648,D.7,
Chinook,Taku River,US Harvest,2014,1320,D.7,
Chinook,Taku River,US Harvest,2015,784,D.7,
Chinook,Taku River,US Harvest,2016,824,D.7,
Chinook,Taku River,US Harvest,2017,179,D.7,
Chinook,Taku River,US Harvest,2018,50,D.7,
Chinook,Taku River,US Harvest,2019,229,D.7,
Chinook,Taku River,US Harvest,2020,323,D.7,
Chinook,Taku River,US Harvest,2021,333,D.7,
Chinook,Taku River,US Harvest,2022,207,D.7,
Chinook,Taku River,US Harvest,2023,271,D.7,
Chinook,Taku River,Terminal Run,1989,NA,D.7,
Chinook,Taku River,Terminal Run,1990,NA,D.7,
Chinook,Taku River,Terminal Run,1991,NA,D.7,
Chinook,Taku River,Terminal Run,1992,NA,D.7,
Chinook,Taku River,Terminal Run,1993,NA,D.7,
Chinook,Taku River,Terminal Run,1994,NA,D.7,
Chinook,Taku River,Terminal Run,1995,41820,D.7,
Chinook,Taku River,Terminal Run,1996,88798,D.7,
Chinook,Taku River,Terminal Run,1997,126202,D.7,
Chinook,Taku River,Terminal Run,1998,34916,D.7,
Chinook,Taku River,Terminal Run,1999,22445,D.7,
Chinook,Taku River,Terminal Run,2000,41512,D.7,
Chinook,Taku River,Terminal Run,2001,53390,D.7,
Chinook,Taku River,Terminal Run,2002,61340,D.7,
Chinook,Taku River,Terminal Run,2003,42882,D.7,
Chinook,Taku River,Terminal Run,2004,82681,D.7,
Chinook,Taku River,Terminal Run,2005,65334,D.7,
Chinook,Taku River,Terminal Run,2006,61859,D.7,
Chinook,Taku River,Terminal Run,2007,18650,D.7,
Chinook,Taku River,Terminal Run,2008,30186,D.7,
Chinook,Taku River,Terminal Run,2009,35106,D.7,
Chinook,Taku River,Terminal Run,2010,35784,D.7,
Chinook,Taku River,Terminal Run,2011,24088,D.7,
Chinook,Taku River,Terminal Run,2012,21083,D.7,
Chinook,Taku River,Terminal Run,2013,19388,D.7,
Chinook,Taku River,Terminal Run,2014,27324,D.7,
Chinook,Taku River,Terminal Run,2015,26798,D.7,
Chinook,Taku River,Terminal Run,2016,11631,D.7,
Chinook,Taku River,Terminal Run,2017,8643,D.7,
Chinook,Taku River,Terminal Run,2018,7328,D.7,
Chinook,Taku River,Terminal Run,2019,11797,D.7,
Chinook,Taku River,Terminal Run,2020,16010,D.7,
Chinook,Taku River,Terminal Run,2021,11714,D.7,
Chinook,Taku River,Terminal Run,2022,12962,D.7,
Chinook,Taku River,Terminal Run,2023,15051,D.7,
Chinook,Taku River,Kowatua Aerial Index,1975,NA,D.8,
Chinook,Taku River,Kowatua Aerial Index,1976,341,D.8,
Chinook,Taku River,Kowatua Aerial Index,1977,580,D.8,
Chinook,Taku River,Kowatua Aerial Index,1978,490,D.8,
Chinook,Taku River,Kowatua Aerial Index,1979,430,D.8,
Chinook,Taku River,Kowatua Aerial Index,1980,450,D.8,
Chinook,Taku River,Kowatua Aerial Index,1981,560,D.8,
Chinook,Taku River,Kowatua Aerial Index,1982,289,D.8,
Chinook,Taku River,Kowatua Aerial Index,1983,171,D.8,
Chinook,Taku River,Kowatua Aerial Index,1984,279,D.8,
Chinook,Taku River,Kowatua Aerial Index,1985,699,D.8,
