SPECIES,Stock,Series,Year,Value,TableSource,Method
Chinook,Taku River,Spawning Escapement - Upper,2002,"76,775",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2003,"49,577",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2004,"95,181",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2005,"48,219",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2006,"53,040",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2007,"21,172",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2008,"32,545",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2009,"28,388",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2010,"33,698",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2011,"34,412",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2012,"29,236",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2013,"31,492",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2014,"27,877",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2015,"29,555",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2016,"11,260",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2017,"9,749",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2018,"8,798",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2019,"14,314",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2020,"21,569",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2021,"19,840",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2022,"18,718",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2023,"18,535",D.7,
Chinook,Taku River,Spawning Escapement - Upper,2024,"32,698",D.7,
Chinook,Taku River,Canadian Catch,1989,"1,232",D.7,
Chinook,Taku River,Canadian Catch,1990,"1,606",D.7,
Chinook,Taku River,Canadian Catch,1991,"1,477",D.7,
Chinook,Taku River,Canadian Catch,1992,"1,866",D.7,
Chinook,Taku River,Canadian Catch,1993,"1,944",D.7,
Chinook,Taku River,Canadian Catch,1994,"2,484",D.7,
Chinook,Taku River,Canadian Catch,1995,"1,752",D.7,
Chinook,Taku River,Canadian Catch,1996,"3,499",D.7,
